"","Core","Depth.min","Depth.max","Depth.mean","d13C.carb","d18O.carb","d13C.carb.sd","d18O.carb.sd","percent.carb","d13C.org","Fmc","Fmc.err","NOSAMS.an"
"65","DDQ",9,13,11,NA,NA,NA,NA,NA,-20.74,0.7577,0.0168,"OS-84799   "
"66","DDQ",9,13,11,NA,NA,NA,NA,NA,-20.07,0.7969,0.0146,"OS-84800   "
"67","DDQ",26,32,29,NA,NA,NA,NA,NA,-25.3,0.8435,0.0125,"OS-84801   "
"68","2267-2",0,2,1,3.39,-4.43,0.04,0.03,0.49,NA,NA,NA,""
"69","2267-2",2,4,3,3.79,-4.68,0.03,0.04,0.45,NA,NA,NA,""
"70","2267-2",4,6,5,3.86,-4.96,0.12,0.07,0.55,NA,NA,NA,""
"71","2267-2",6,8,7,3.67,-4.75,0.15,0.03,0.49,NA,NA,NA,""
"72","2267-2",8,10,9,3.62,-4.89,0.03,0.03,0.47,NA,NA,NA,""
"73","2267-2",10,13,11.5,2.94,-5,0.2,0.08,0.4,NA,NA,NA,""
"74","2267-2",13,16,14.5,3.02,-4.78,0.05,0.06,0.44,NA,NA,NA,""
"75","2267-2",16,19,17.5,3.51,-4.96,0.07,0.03,0.5,NA,NA,NA,""
"76","2267-2",19,22,20.5,3.21,-5.05,0.06,0.05,0.4,NA,NA,NA,""
"77","2267-2",22,25,23.5,3.19,-4.84,0.14,0.04,0.38,NA,NA,NA,""
"78","2267-2",25,28,26.5,3.47,-4.95,0.12,0.03,0.52,NA,NA,NA,""
"79","2267-2",28,31,29.5,3.63,-4.88,0.1,0.05,0.57,NA,NA,NA,""
"80","2267-2",31,34,32.5,3.07,-4.78,0.06,0.04,0.57,NA,NA,NA,""
"81","2267-2",34,37,35.5,3.26,-4.88,0.11,0.03,0.5,NA,NA,NA,""
"82","2267-2",37,40,38.5,3.48,-4.83,0.06,0.04,0.55,NA,NA,NA,""
"83","2267-2",40,43,41.5,3.77,-4.67,0.13,0.06,0.55,NA,NA,NA,""
"84","2267-2",43,46,44.5,3.55,-4.56,0.06,0.05,0.55,NA,NA,NA,""
"85","2267-2",46,49,47.5,3.21,-4.9,0.04,0.05,0.4,NA,NA,NA,""
"86","2267-2",49,52,50.5,2.57,-5.32,0.1,0.06,0.44,NA,NA,NA,""
"87","2267-2",52,55,53.5,3.13,-4.95,0.25,0.07,0.51,NA,NA,NA,""
"88","2267-2",55,58,56.5,2.94,-4.85,0.09,0.02,0.43,NA,NA,NA,""
"89","2267-2",58,61,59.5,3.24,-4.7,0.03,0.03,0.43,NA,NA,NA,""
"90","2267-2",61,64,62.5,3.09,-4.81,0.06,0.03,0.48,NA,NA,NA,""
"91","2267-2",64,68,66,2.7,-5,0.05,0.02,0.46,NA,NA,NA,""
"92","2267-2",68,72,70,2.45,-4.64,0.1,0.05,0.37,NA,NA,NA,""
"93","2267-2",72,76,74,3.77,-4.57,0.1,0.07,0.49,NA,NA,NA,""
"94","2267-2",76,80,78,2.57,-4.73,0.07,0.02,0.47,NA,NA,NA,""
