pb210,cdm
7.047244094,0.071574642
8.871392678,0.262440406
8.543307087,0.511247444
7.729660395,0.814587802
5.826771654,1.199727439
3.674542284,1.710974882
2.480314961,2.344921713
2.007874016,3.016359918
1.325460119,3.711656442
0.511811024,4.413769806
