"","Depth","Age.025","Age.med","Age.975"
"1",0.1,1.18167920305998,1.57768902536691,2.07848851306009
"2",0.2,2.45423277200519,3.24303939292831,4.24093960351813
"3",0.3,3.83583924160257,4.99648050861484,6.49485422142011
"4",0.4,5.29779996003036,6.82826904818153,8.75591634035908
"5",0.5,6.83330930639432,8.75134317813259,11.1440290894204
"6",0.6,8.43865666937468,10.7716986250218,13.6233884782687
"7",0.7,10.1658926617095,12.8791382311787,16.2313810725774
"8",0.8,12.0105595557042,15.1052191457171,18.9734102393463
"9",0.9,13.9734374322045,17.4167386024788,21.7865805111797
"10",1,15.9920882351597,19.8326360569285,24.6981325007036
"11",1.1,18.1209217976008,22.3722018783644,27.7504637096834
"12",1.2,20.281192324708,25.0175518230595,30.9835284480713
"13",1.3,22.5194982759775,27.7658484845808,34.2692438307452
"14",1.4,24.851269752671,30.6419393695339,37.6555523022099
"15",1.5,27.3556768969944,33.6151793107035,41.2083444938411
"16",1.6,29.9445745161484,36.7600125195286,44.8626419292362
"17",1.7,32.4954270288027,39.951433825612,48.764278610102
"18",1.8,35.1575493756647,43.146472065194,52.6624624462171
"19",1.9,37.7304664209166,46.476843263081,56.9233405546008
"20",2,40.3733843621007,49.8904398086532,61.319168642586
"21",2.1,43.151604002831,53.347257167608,65.800624088093
"22",2.2,46.0294292776659,56.8951432798185,70.4535621252943
"23",2.3,48.7057535591673,60.5717691574084,75.0366102160317
"24",2.4,51.5169123073336,64.2372891679489,79.7617110197546
"25",2.5,54.2481203372132,67.9244738036411,84.7668930712422
"26",2.6,57.1129302024884,71.7059383349071,89.6392085620759
"27",2.7,59.7897435217617,75.5242736440109,95.2344484256564
"28",2.8,62.6429036552932,79.4563275680882,100.771090029154
"29",2.9,65.4277399285888,83.3701345979858,106.321444778909
"30",3,68.3650850931804,87.3567954490526,112.022612760217
"31",3.1,71.3769362377991,91.3413955576358,117.627683348564
"32",3.2,74.3437946745922,95.4195701357866,123.495480007892
"33",3.3,77.0154746712332,99.5671222135517,129.402155849005
"34",3.4,79.7912592559349,103.65119048006,135.13202559539
"35",3.5,82.7404649212079,107.840566751338,141.284269065492
"36",3.6,85.515277772033,112.045949760881,147.589132982185
"37",3.7,88.6904030228165,116.212376196387,153.642087858679
"38",3.8,91.7874484328003,120.565366824267,159.743620084493
"39",3.9,94.7202310887648,124.927484201544,166.078950516539
"40",4,97.3848697086639,129.236199296657,173.116057739278
"41",4.1,100.266295643194,133.565611839327,180.070706276876
"42",4.2,103.480879614988,138.011049164823,187.148168740774
"43",4.3,106.681409281209,142.381108182643,194.076649574532
"44",4.4,109.667168376289,147.042456203849,200.971555005081
"45",4.5,112.777782501354,151.722192430639,208.350068199779
"46",4.6,115.813025501987,156.292038989435,215.645606980307
"47",4.7,118.939755827928,160.982653618047,222.348533013766
"48",4.8,121.920853831052,165.714443407593,229.610416676476
"49",4.9,125.084640185546,170.380939751926,238.128812170937
"50",5,128.238322394084,175.256995443885,246.264153702793
"51",5.1,131.523636636843,180.275811054506,254.349270389972
"52",5.2,134.68004093789,185.159700820596,262.481540008044
"53",5.3,137.960326696161,190.278540116988,271.378920635355
"54",5.4,141.32792666315,195.12914813848,279.927760219841
"55",5.5,144.298896557448,200.158862948099,288.24800042563
"56",5.6,147.670072584526,205.300363456227,296.781782781737
"57",5.7,150.861954948764,210.359004810695,304.791909412235
"58",5.8,154.62964562393,215.355016136672,313.941048422712
"59",5.9,158.386738448242,220.665402087848,322.536940442471
"60",6,161.422145983051,225.846607475434,331.33948151646
"61",6.1,164.577185885593,231.176009836977,341.016099248146
"62",6.2,167.884795374246,236.582732451187,349.900172785572
"63",6.3,171.703823212323,242.104752682144,358.222197584184
"64",6.4,174.83885949226,247.41269758385,367.357484513472
"65",6.5,178.022886025328,252.871989334565,376.716301982061
"66",6.6,181.214065847119,258.369176470827,385.715937942826
"67",6.7,184.556536639815,263.933213918598,395.332188591099
"68",6.8,188.246459721487,269.33107440751,405.974601806773
"69",6.9,191.702950306825,274.825232413122,415.838138117796
"70",7,194.895102030014,280.46507653526,425.118393549441
"71",7.1,198.101311050275,285.991424407981,434.794319247714
"72",7.2,201.47617135471,291.495288486394,444.241523913879
"73",7.3,205.273519198864,296.672082368745,453.961067681999
"74",7.4,209.062213377616,302.538669023903,463.161182321604
"75",7.5,212.138196799826,308.477290785636,472.345067377347
"76",7.6,215.4914489773,314.104438113586,482.152073740175
"77",7.7,218.793411832602,319.733374676419,493.908914146027
"78",7.8,222.297625186011,325.475519413338,503.788438042195
"79",7.9,225.577771188294,331.213981565025,514.648705497545
"80",8,229.039336165539,337.205433533565,523.918177529418
"81",8.1,232.269590867369,342.641751483367,533.722329111221
"82",8.2,235.661423103984,348.331517971441,544.115268155905
"83",8.3,239.010943487248,354.114334164031,554.117198824273
"84",8.4,242.362423562392,359.977046432571,565.878469715406
"85",8.5,245.673922273697,366.191594129835,576.89880789188
"86",8.6,249.130637144723,372.231814815387,587.611970220604
"87",8.7,252.761852720545,378.226625356823,598.390934742483
