"","Depth","Age.025","Age.med","Age.975"
"1",0.1,0.552964840504624,0.776577954609367,1.04291265345556
"2",0.2,1.12517216823766,1.56088864725063,2.06881466952787
"3",0.3,1.72129151498388,2.3519899461691,3.07058701599202
"4",0.4,2.34793480603115,3.15470482821482,4.06826583129001
"5",0.5,3.00307239677637,3.96265904862955,5.04616930894331
"6",0.6,3.6850458798717,4.78840416277326,6.03865114844059
"7",0.7,4.37789533716346,5.63642445842374,7.05690697070477
"8",0.8,5.08718430665956,6.49842025525895,8.09955004753998
"9",0.9,5.81244693689309,7.37550333225764,9.1256025918941
"10",1,6.57280386362278,8.27728178567993,10.2075926783442
"11",1.1,7.33574088393002,9.19580256384282,11.2970652796575
"12",1.2,8.14923803391452,10.14070847022,12.369365858147
"13",1.3,8.96491406508484,11.121073817976,13.4954775132629
"14",1.4,9.85518381692741,12.1178920554371,14.6195400313318
"15",1.5,10.7412757220202,13.1463714323505,15.7732213804149
"16",1.6,11.659487708706,14.2253369595929,16.9481730432179
"17",1.7,12.7072211470785,15.3512712362785,18.208290700085
"18",1.8,13.7859458747122,16.5415848145817,19.5409981136163
"19",1.9,14.9944543405829,17.8131550218902,20.9362916623661
"20",2,16.1785153900255,19.1471257492603,22.4292704858841
"21",2.1,17.4299894059331,20.5700600826855,24.0106054218714
"22",2.2,18.7368939413364,22.0751693683978,25.6942191031345
"23",2.3,20.1291127690697,23.6876298295781,27.4915794951477
"24",2.4,21.6437013969081,25.3701563332046,29.3919930002534
"25",2.5,23.3235375284411,27.1892703705383,31.4826806752491
"26",2.6,25.0464501574421,29.0892297866867,33.5916089463538
"27",2.7,26.8443704048437,31.0191410990153,35.7495349893312
"28",2.8,28.7178397015166,33.0493592097801,37.9301204161031
"29",2.9,30.5568620652008,35.1650402602052,40.3400588504831
"30",3,32.4280878207583,37.3367326201454,42.8505473774218
"31",3.1,34.4047612391974,39.5408126096795,45.3771224727436
"32",3.2,36.3541392644676,41.8496553888174,48.1474301310362
"33",3.3,38.3601207718912,44.2403063705659,50.9697366318792
"34",3.4,40.387676831039,46.6979264269307,53.8916710566558
"35",3.5,42.4003370520934,49.227757962818,57.0119960995937
"36",3.6,44.5349337287244,51.8638075477765,60.376106482568
"37",3.7,46.748824063657,54.6072456160422,63.6699392925979
"38",3.8,48.9620792347291,57.3940849043919,67.0711671629106
"39",3.9,51.1672440092316,60.2028477493945,70.6435072407738
"40",4,53.4051439819298,63.1298128081194,74.5482572550672
"41",4.1,55.7566512834921,66.1269469568173,78.437568901538
"42",4.2,57.98949995403,69.2061999824035,82.4822733208561
"43",4.3,60.3698885133724,72.2917208240063,86.9634866415918
"44",4.4,62.5074234079193,75.4737462737063,91.282812181549
"45",4.5,64.7529444344784,78.7818587309841,96.1191649654098
"46",4.6,66.8913993375141,82.0763145903404,101.301656002808
"47",4.7,68.9041717311391,85.3668601645719,106.574894903734
"48",4.8,71.2815184480605,88.6953231521753,111.700319479148
"49",4.9,73.38855660923,92.0489936591833,116.883303725003
"50",5,75.3866100930195,95.4377782497357,122.577042274493
